film_id,title,actor_id,first_name_clean,last_name_clean,actor_full_name
17,"ALONE TRIP",3,ed,chase,"ed chase"
40,"ARMY FLINTSTONES",3,ed,chase,"ed chase"
42,"ARTIST COLDBLOODED",3,ed,chase,"ed chase"
87,"BOONDOCK BALLROOM",3,ed,chase,"ed chase"
111,"CADDYSHACK JEDI",3,ed,chase,"ed chase"
185,"COWBOY DOOM",3,ed,chase,"ed chase"
289,"EVE RESURRECTION",3,ed,chase,"ed chase"
329,"FORREST SONS",3,ed,chase,"ed chase"
336,"FRENCH HOLIDAY",3,ed,chase,"ed chase"
341,"FROST HEAD",3,ed,chase,"ed chase"
393,"HALLOWEEN NUTS",3,ed,chase,"ed chase"
441,"HUNTER ALTER",3,ed,chase,"ed chase"
453,"IMAGE PRINCESS",3,ed,chase,"ed chase"
480,"JEEPERS WEDDING",3,ed,chase,"ed chase"
539,"LUCK OPUS",3,ed,chase,"ed chase"
618,"NECKLACE OUTBREAK",3,ed,chase,"ed chase"
685,"PLATOON INSTINCT",3,ed,chase,"ed chase"
827,"SPICE SORORITY",3,ed,chase,"ed chase"
966,"WEDDING APOLLO",3,ed,chase,"ed chase"
967,"WEEKEND PERSONAL",3,ed,chase,"ed chase"
971,"WHALE BIKINI",3,ed,chase,"ed chase"
996,"YOUNG LANGUAGE",3,ed,chase,"ed chase"
23,"ANACONDA CONFESSIONS",4,jennifer,davis,"jennifer davis"
25,"ANGELS LIFE",4,jennifer,davis,"jennifer davis"
56,"BAREFOOT MANCHURIAN",4,jennifer,davis,"jennifer davis"
62,"BED HIGHBALL",4,jennifer,davis,"jennifer davis"
79,"BLADE POLISH",4,jennifer,davis,"jennifer davis"
87,"BOONDOCK BALLROOM",4,jennifer,davis,"jennifer davis"
355,"GHOSTBUSTERS ELF",4,jennifer,davis,"jennifer davis"
379,"GREEDY ROOTS",4,jennifer,davis,"jennifer davis"
398,"HANOVER GALAXY",4,jennifer,davis,"jennifer davis"
463,"INSTINCT AIRPORT",4,jennifer,davis,"jennifer davis"
490,"JUMANJI BLADE",4,jennifer,davis,"jennifer davis"
616,"NATIONAL STORY",4,jennifer,davis,"jennifer davis"
635,"OKLAHOMA JUMANJI",4,jennifer,davis,"jennifer davis"
691,"POSEIDON FOREVER",4,jennifer,davis,"jennifer davis"
712,"RAIDERS ANTITRUST",4,jennifer,davis,"jennifer davis"
714,"RANDOM GO",4,jennifer,davis,"jennifer davis"
721,"REDS POCUS",4,jennifer,davis,"jennifer davis"
798,"SILVERADO GOLDFINGER",4,jennifer,davis,"jennifer davis"
832,"SPLASH GUMP",4,jennifer,davis,"jennifer davis"
858,"SUBMARINE BED",4,jennifer,davis,"jennifer davis"
909,"TREASURE COMMAND",4,jennifer,davis,"jennifer davis"
924,"UNFORGIVEN ZOOLANDER",4,jennifer,davis,"jennifer davis"
19,"AMADEUS HOLY",5,johnny,lollobrigida,"johnny lollobrigida"
54,"BANGER PINOCCHIO",5,johnny,lollobrigida,"johnny lollobrigida"
85,"BONNIE HOLOCAUST",5,johnny,lollobrigida,"johnny lollobrigida"
146,"CHITTY LOCK",5,johnny,lollobrigida,"johnny lollobrigida"
171,"COMMANDMENTS EXPRESS",5,johnny,lollobrigida,"johnny lollobrigida"
172,"CONEHEADS SMOOCHY",5,johnny,lollobrigida,"johnny lollobrigida"
202,"DADDY PITTSBURGH",5,johnny,lollobrigida,"johnny lollobrigida"
203,"DAISY MENAGERIE",5,johnny,lollobrigida,"johnny lollobrigida"
286,"ENOUGH RAGING",5,johnny,lollobrigida,"johnny lollobrigida"
288,"ESCAPE METROPOLIS",5,johnny,lollobrigida,"johnny lollobrigida"
316,"FIRE WOLVES",5,johnny,lollobrigida,"johnny lollobrigida"
340,"FRONTIER CABIN",5,johnny,lollobrigida,"johnny lollobrigida"
369,"GOODFELLAS SALUTE",5,johnny,lollobrigida,"johnny lollobrigida"
375,"GRAIL FRANKENSTEIN",5,johnny,lollobrigida,"johnny lollobrigida"
383,"GROOVE FICTION",5,johnny,lollobrigida,"johnny lollobrigida"
392,"HALL CASSIDY",5,johnny,lollobrigida,"johnny lollobrigida"
411,"HEAVENLY GUN",5,johnny,lollobrigida,"johnny lollobrigida"
503,"KRAMER CHOCOLATE",5,johnny,lollobrigida,"johnny lollobrigida"
535,"LOVE SUICIDES",5,johnny,lollobrigida,"johnny lollobrigida"
571,"METAL ARMAGEDDON",5,johnny,lollobrigida,"johnny lollobrigida"
650,"PACIFIC AMISTAD",5,johnny,lollobrigida,"johnny lollobrigida"
665,"PATTON INTERVIEW",5,johnny,lollobrigida,"johnny lollobrigida"
687,"POCUS PULP",5,johnny,lollobrigida,"johnny lollobrigida"
730,"RIDGEMONT SUBMARINE",5,johnny,lollobrigida,"johnny lollobrigida"
732,"RINGS HEARTBREAKERS",5,johnny,lollobrigida,"johnny lollobrigida"
811,"SMILE EARRING",5,johnny,lollobrigida,"johnny lollobrigida"
817,"SOLDIERS EVOLUTION",5,johnny,lollobrigida,"johnny lollobrigida"
841,"STAR OPERATION",5,johnny,lollobrigida,"johnny lollobrigida"
865,"SUNRISE LEAGUE",5,johnny,lollobrigida,"johnny lollobrigida"
29,"ANTITRUST TOMATOES",6,bette,nicholson,"bette nicholson"
53,"BANG KWAI",6,bette,nicholson,"bette nicholson"
60,"BEAST HUNCHBACK",6,bette,nicholson,"bette nicholson"
70,"BIKINI BORROWERS",6,bette,nicholson,"bette nicholson"
112,"CALENDAR GUNFIGHT",6,bette,nicholson,"bette nicholson"
164,"COAST RAINBOW",6,bette,nicholson,"bette nicholson"
165,"COLDBLOODED DARLING",6,bette,nicholson,"bette nicholson"
193,"CROSSROADS CASUALTIES",6,bette,nicholson,"bette nicholson"
256,"DROP WATERFRONT",6,bette,nicholson,"bette nicholson"
451,"IGBY MAKER",6,bette,nicholson,"bette nicholson"
503,"KRAMER CHOCOLATE",6,bette,nicholson,"bette nicholson"
509,"LANGUAGE COWBOY",6,bette,nicholson,"bette nicholson"
517,"LESSON CLEOPATRA",6,bette,nicholson,"bette nicholson"
519,"LIBERTY MAGNIFICENT",6,bette,nicholson,"bette nicholson"
605,"MULHOLLAND BEAST",6,bette,nicholson,"bette nicholson"
692,"POTLUCK MIXED",6,bette,nicholson,"bette nicholson"
826,"SPEED SUIT",6,bette,nicholson,"bette nicholson"
892,"TITANIC BOONDOCK",6,bette,nicholson,"bette nicholson"
902,"TRADING PINOCCHIO",6,bette,nicholson,"bette nicholson"
994,"WYOMING STORM",6,bette,nicholson,"bette nicholson"
25,"ANGELS LIFE",7,grace,mostel,"grace mostel"
27,"ANONYMOUS HUMAN",7,grace,mostel,"grace mostel"
35,"ARACHNOPHOBIA ROLLERCOASTER",7,grace,mostel,"grace mostel"
67,"BERETS AGENT",7,grace,mostel,"grace mostel"
96,"BREAKING HOME",7,grace,mostel,"grace mostel"
170,"COMMAND DARLING",7,grace,mostel,"grace mostel"
173,"CONFESSIONS MAGUIRE",7,grace,mostel,"grace mostel"
217,"DAZED PUNK",7,grace,mostel,"grace mostel"
218,"DECEIVER BETRAYED",7,grace,mostel,"grace mostel"
225,"DESTINATION JERK",7,grace,mostel,"grace mostel"
292,"EXCITEMENT EVE",7,grace,mostel,"grace mostel"
351,"GASLIGHT CRUSADE",7,grace,mostel,"grace mostel"
414,"HELLFIGHTERS SIERRA",7,grace,mostel,"grace mostel"
463,"INSTINCT AIRPORT",7,grace,mostel,"grace mostel"
554,"MALKOVICH PET",7,grace,mostel,"grace mostel"
618,"NECKLACE OUTBREAK",7,grace,mostel,"grace mostel"
633,"OCTOBER SUBMARINE",7,grace,mostel,"grace mostel"
637,"OPEN AFRICAN",7,grace,mostel,"grace mostel"
691,"POSEIDON FOREVER",7,grace,mostel,"grace mostel"
758,"SAINTS BRIDE",7,grace,mostel,"grace mostel"
766,"SAVANNAH TOWN",7,grace,mostel,"grace mostel"
770,"SCISSORHANDS SLUMS",7,grace,mostel,"grace mostel"
805,"SLEEPLESS MONSOON",7,grace,mostel,"grace mostel"
806,"SLEEPY JAPANESE",7,grace,mostel,"grace mostel"
846,"STING PERSONAL",7,grace,mostel,"grace mostel"
900,"TOWN ARK",7,grace,mostel,"grace mostel"
901,"TRACY CIDER",7,grace,mostel,"grace mostel"
910,"TREATMENT JEKYLL",7,grace,mostel,"grace mostel"
957,"WAR NOTTING",7,grace,mostel,"grace mostel"
959,"WARLOCK WEREWOLF",7,grace,mostel,"grace mostel"
47,"BABY HALL",8,matthew,johansson,"matthew johansson"
115,"CAMPUS REMEMBER",8,matthew,johansson,"matthew johansson"
158,"CLONES PINOCCHIO",8,matthew,johansson,"matthew johansson"
179,"CONQUERER NUTS",8,matthew,johansson,"matthew johansson"
195,"CROWDS TELEMARK",8,matthew,johansson,"matthew johansson"
205,"DANCES NONE",8,matthew,johansson,"matthew johansson"
255,"DRIVING POLISH",8,matthew,johansson,"matthew johansson"
263,"DURHAM PANKY",8,matthew,johansson,"matthew johansson"
321,"FLASH WARS",8,matthew,johansson,"matthew johansson"
396,"HANGING DEEP",8,matthew,johansson,"matthew johansson"
458,"INDIAN LOVE",8,matthew,johansson,"matthew johansson"
523,"LIGHTS DEER",8,matthew,johansson,"matthew johansson"
532,"LOSER HUSTLER",8,matthew,johansson,"matthew johansson"
554,"MALKOVICH PET",8,matthew,johansson,"matthew johansson"
752,"RUNNER MADIGAN",8,matthew,johansson,"matthew johansson"
769,"SCHOOL JACKET",8,matthew,johansson,"matthew johansson"
771,"SCORPION APOLLO",8,matthew,johansson,"matthew johansson"
859,"SUGAR WONKA",8,matthew,johansson,"matthew johansson"
895,"TOMORROW HUSTLER",8,matthew,johansson,"matthew johansson"
936,"VANISHING ROCKY",8,matthew,johansson,"matthew johansson"
30,"ANYTHING SAVANNAH",9,joe,swank,"joe swank"
74,"BIRCH ANTITRUST",9,joe,swank,"joe swank"
147,"CHOCOLAT HARRY",9,joe,swank,"joe swank"
148,"CHOCOLATE DUCK",9,joe,swank,"joe swank"
191,"CROOKED FROGMEN",9,joe,swank,"joe swank"
200,"CURTAIN VIDEOTAPE",9,joe,swank,"joe swank"
204,"DALMATIONS SWEDEN",9,joe,swank,"joe swank"
434,"HORROR REIGN",9,joe,swank,"joe swank"
510,"LAWLESS VISION",9,joe,swank,"joe swank"
514,"LEBOWSKI SOLDIERS",9,joe,swank,"joe swank"
552,"MAJESTIC FLOATS",9,joe,swank,"joe swank"
650,"PACIFIC AMISTAD",9,joe,swank,"joe swank"
671,"PERDITION FARGO",9,joe,swank,"joe swank"
697,"PRIMARY GLASS",9,joe,swank,"joe swank"
722,"REEF SALUTE",9,joe,swank,"joe swank"
752,"RUNNER MADIGAN",9,joe,swank,"joe swank"
811,"SMILE EARRING",9,joe,swank,"joe swank"
815,"SNATCHERS MONTEZUMA",9,joe,swank,"joe swank"
865,"SUNRISE LEAGUE",9,joe,swank,"joe swank"
873,"SWEETHEARTS SUSPECTS",9,joe,swank,"joe swank"
889,"TIES HUNGER",9,joe,swank,"joe swank"
903,"TRAFFIC HOBBIT",9,joe,swank,"joe swank"
926,"UNTOUCHABLES SUNRISE",9,joe,swank,"joe swank"
964,"WATERFRONT DELIVERANCE",9,joe,swank,"joe swank"
974,"WILD APOLLO",9,joe,swank,"joe swank"
1,"ACADEMY DINOSAUR",10,christian,gable,"christian gable"
9,"ALABAMA DEVIL",10,christian,gable,"christian gable"
191,"CROOKED FROGMEN",10,christian,gable,"christian gable"
236,"DIVINE RESURRECTION",10,christian,gable,"christian gable"
251,"DRAGONFLY STRANGERS",10,christian,gable,"christian gable"
366,"GOLDFINGER SENSIBILITY",10,christian,gable,"christian gable"
477,"JAWBREAKER BROOKLYN",10,christian,gable,"christian gable"
480,"JEEPERS WEDDING",10,christian,gable,"christian gable"
522,"LIFE TWISTED",10,christian,gable,"christian gable"
530,"LORD ARIZONA",10,christian,gable,"christian gable"
587,"MOD SECRETARY",10,christian,gable,"christian gable"
694,"PREJUDICE OLEANDER",10,christian,gable,"christian gable"
703,"PUNK DIVORCE",10,christian,gable,"christian gable"
716,"REAP UNFAITHFUL",10,christian,gable,"christian gable"
782,"SHAKESPEARE SADDLE",10,christian,gable,"christian gable"
914,"TROUBLE DATE",10,christian,gable,"christian gable"
929,"USUAL UNTOUCHABLES",10,christian,gable,"christian gable"
930,"VACATION BOONDOCK",10,christian,gable,"christian gable"
964,"WATERFRONT DELIVERANCE",10,christian,gable,"christian gable"
966,"WEDDING APOLLO",10,christian,gable,"christian gable"
980,"WIZARD COLDBLOODED",10,christian,gable,"christian gable"
983,"WON DARES",10,christian,gable,"christian gable"
118,"CANYON STOCK",11,zero,cage,"zero cage"
205,"DANCES NONE",11,zero,cage,"zero cage"
281,"ENCINO ELF",11,zero,cage,"zero cage"
283,"ENDING CROWDS",11,zero,cage,"zero cage"
348,"GANDHI KWAI",11,zero,cage,"zero cage"
364,"GODFATHER DIARY",11,zero,cage,"zero cage"
395,"HANDICAP BOONDOCK",11,zero,cage,"zero cage"
429,"HONEY TIES",11,zero,cage,"zero cage"
433,"HORN WORKING",11,zero,cage,"zero cage"
453,"IMAGE PRINCESS",11,zero,cage,"zero cage"
485,"JERSEY SASSY",11,zero,cage,"zero cage"
532,"LOSER HUSTLER",11,zero,cage,"zero cage"
567,"MEET CHOCOLATE",11,zero,cage,"zero cage"
587,"MOD SECRETARY",11,zero,cage,"zero cage"
597,"MOONWALKER FOOL",11,zero,cage,"zero cage"
636,"OLEANDER CLUE",11,zero,cage,"zero cage"
709,"RACER EGG",11,zero,cage,"zero cage"
850,"STORY SIDE",11,zero,cage,"zero cage"
854,"STRANGERS GRAFFITI",11,zero,cage,"zero cage"
888,"THIN SAGEBRUSH",11,zero,cage,"zero cage"
896,"TOOTSIE PILOT",11,zero,cage,"zero cage"
928,"UPTOWN YOUNG",11,zero,cage,"zero cage"
938,"VELVET TERMINATOR",11,zero,cage,"zero cage"
969,"WEST LION",11,zero,cage,"zero cage"
988,"WORKER TARZAN",11,zero,cage,"zero cage"
16,"ALLEY EVOLUTION",12,karl,berry,"karl berry"
17,"ALONE TRIP",12,karl,berry,"karl berry"
34,"ARABIA DOGMA",12,karl,berry,"karl berry"
37,"ARIZONA BANG",12,karl,berry,"karl berry"
91,"BOUND CHEAPER",12,karl,berry,"karl berry"
92,"BOWFINGER GABLES",12,karl,berry,"karl berry"
107,"BUNCH MINDS",12,karl,berry,"karl berry"
155,"CLEOPATRA DEVIL",12,karl,berry,"karl berry"
177,"CONNECTICUT TRAMP",12,karl,berry,"karl berry"
208,"DARES PLUTO",12,karl,berry,"karl berry"
213,"DATE SPEED",12,karl,berry,"karl berry"
216,"DAY UNFAITHFUL",12,karl,berry,"karl berry"
243,"DOORS PRESIDENT",12,karl,berry,"karl berry"
344,"FURY MURDER",12,karl,berry,"karl berry"
400,"HARDLY ROBBERS",12,karl,berry,"karl berry"
416,"HIGHBALL POTTER",12,karl,berry,"karl berry"
420,"HOLES BRANNIGAN",12,karl,berry,"karl berry"
457,"INDEPENDENCE HOTEL",12,karl,berry,"karl berry"
513,"LEATHERNECKS DWARFS",12,karl,berry,"karl berry"
540,"LUCKY FLYING",12,karl,berry,"karl berry"
593,"MONTEREY LABYRINTH",12,karl,berry,"karl berry"
631,"NOVOCAINE FLIGHT",12,karl,berry,"karl berry"
635,"OKLAHOMA JUMANJI",12,karl,berry,"karl berry"
672,"PERFECT GROOVE",12,karl,berry,"karl berry"
716,"REAP UNFAITHFUL",12,karl,berry,"karl berry"
728,"REUNION WITCHES",12,karl,berry,"karl berry"
812,"SMOKING BARBARELLA",12,karl,berry,"karl berry"
838,"STAGECOACH ARMAGEDDON",12,karl,berry,"karl berry"
871,"SWEDEN SHINING",12,karl,berry,"karl berry"
880,"TELEMARK HEARTBREAKERS",12,karl,berry,"karl berry"
945,"VIRGINIAN PLUTO",12,karl,berry,"karl berry"
17,"ALONE TRIP",13,uma,wood,"uma wood"
29,"ANTITRUST TOMATOES",13,uma,wood,"uma wood"
45,"ATTRACTION NEWTON",13,uma,wood,"uma wood"
87,"BOONDOCK BALLROOM",13,uma,wood,"uma wood"
110,"CABIN FLASH",13,uma,wood,"uma wood"
144,"CHINATOWN GLADIATOR",13,uma,wood,"uma wood"
154,"CLASH FREDDY",13,uma,wood,"uma wood"
162,"CLUELESS BUCKET",13,uma,wood,"uma wood"
203,"DAISY MENAGERIE",13,uma,wood,"uma wood"
254,"DRIVER ANNIE",13,uma,wood,"uma wood"
337,"FRIDA SLIPPER",13,uma,wood,"uma wood"
346,"GALAXY SWEETHEARTS",13,uma,wood,"uma wood"
381,"GRINCH MASSAGE",13,uma,wood,"uma wood"
385,"GROUNDHOG UNCUT",13,uma,wood,"uma wood"
427,"HOMEWARD CIDER",13,uma,wood,"uma wood"
456,"INCH JET",13,uma,wood,"uma wood"
513,"LEATHERNECKS DWARFS",13,uma,wood,"uma wood"
515,"LEGALLY SECRETARY",13,uma,wood,"uma wood"
522,"LIFE TWISTED",13,uma,wood,"uma wood"
524,"LION UNCUT",13,uma,wood,"uma wood"
528,"LOLITA WORLD",13,uma,wood,"uma wood"
571,"METAL ARMAGEDDON",13,uma,wood,"uma wood"
588,"MODEL FISH",13,uma,wood,"uma wood"
597,"MOONWALKER FOOL",13,uma,wood,"uma wood"
600,"MOTIONS DETAILS",13,uma,wood,"uma wood"
718,"REBEL AIRPORT",13,uma,wood,"uma wood"
729,"RIDER CADDYSHACK",13,uma,wood,"uma wood"
816,"SNOWMAN ROLLERCOASTER",13,uma,wood,"uma wood"
817,"SOLDIERS EVOLUTION",13,uma,wood,"uma wood"
832,"SPLASH GUMP",13,uma,wood,"uma wood"
833,"SPLENDOR PATTON",13,uma,wood,"uma wood"
843,"STEEL SANTA",13,uma,wood,"uma wood"
897,"TORQUE BOUND",13,uma,wood,"uma wood"
966,"WEDDING APOLLO",13,uma,wood,"uma wood"
998,"ZHIVAGO CORE",13,uma,wood,"uma wood"
154,"CLASH FREDDY",14,vivien,bergen,"vivien bergen"
187,"CRANES RESERVOIR",14,vivien,bergen,"vivien bergen"
232,"DIRTY ACE",14,vivien,bergen,"vivien bergen"
241,"DONNIE ALLEY",14,vivien,bergen,"vivien bergen"
253,"DRIFTER COMMANDMENTS",14,vivien,bergen,"vivien bergen"
255,"DRIVING POLISH",14,vivien,bergen,"vivien bergen"
258,"DRUMS DYNAMITE",14,vivien,bergen,"vivien bergen"
284,"ENEMY ODDS",14,vivien,bergen,"vivien bergen"
292,"EXCITEMENT EVE",14,vivien,bergen,"vivien bergen"
370,"GORGEOUS BINGO",14,vivien,bergen,"vivien bergen"
415,"HIGH ENCINO",14,vivien,bergen,"vivien bergen"
417,"HILLS NEIGHBORS",14,vivien,bergen,"vivien bergen"
418,"HOBBIT ALIEN",14,vivien,bergen,"vivien bergen"
454,"IMPACT ALADDIN",14,vivien,bergen,"vivien bergen"
472,"ITALIAN AFRICAN",14,vivien,bergen,"vivien bergen"
475,"JAPANESE RUN",14,vivien,bergen,"vivien bergen"
495,"KENTUCKIAN GIANT",14,vivien,bergen,"vivien bergen"
536,"LOVELY JINGLE",14,vivien,bergen,"vivien bergen"
537,"LOVER TRUMAN",14,vivien,bergen,"vivien bergen"
612,"MUSSOLINI SPOILERS",14,vivien,bergen,"vivien bergen"
688,"POLISH BROOKLYN",14,vivien,bergen,"vivien bergen"
759,"SALUTE APOLLO",14,vivien,bergen,"vivien bergen"
764,"SATURDAY LAMBS",14,vivien,bergen,"vivien bergen"
847,"STOCK GLASS",14,vivien,bergen,"vivien bergen"
856,"STREETCAR INTENTIONS",14,vivien,bergen,"vivien bergen"
890,"TIGHTS DAWN",14,vivien,bergen,"vivien bergen"
908,"TRAP GUYS",14,vivien,bergen,"vivien bergen"
919,"TYCOON GATHERING",14,vivien,bergen,"vivien bergen"
948,"VOICE PEACH",14,vivien,bergen,"vivien bergen"
970,"WESTWARD SEABISCUIT",14,vivien,bergen,"vivien bergen"
31,"APACHE DIVINE",15,cuba,olivier,"cuba olivier"
89,"BORROWERS BEDAZZLED",15,cuba,olivier,"cuba olivier"
91,"BOUND CHEAPER",15,cuba,olivier,"cuba olivier"
108,"BUTCH PANTHER",15,cuba,olivier,"cuba olivier"
125,"CASSIDY WYOMING",15,cuba,olivier,"cuba olivier"
236,"DIVINE RESURRECTION",15,cuba,olivier,"cuba olivier"
275,"EGYPT TENENBAUMS",15,cuba,olivier,"cuba olivier"
280,"EMPIRE MALKOVICH",15,cuba,olivier,"cuba olivier"
326,"FLYING HOOK",15,cuba,olivier,"cuba olivier"
342,"FUGITIVE MAGUIRE",15,cuba,olivier,"cuba olivier"
414,"HELLFIGHTERS SIERRA",15,cuba,olivier,"cuba olivier"
445,"HYDE DOCTOR",15,cuba,olivier,"cuba olivier"
500,"KISS GLORY",15,cuba,olivier,"cuba olivier"
502,"KNOCK WARLOCK",15,cuba,olivier,"cuba olivier"
541,"LUKE MUMMY",15,cuba,olivier,"cuba olivier"
553,"MAKER GABLES",15,cuba,olivier,"cuba olivier"
594,"MONTEZUMA COMMAND",15,cuba,olivier,"cuba olivier"
626,"NOON PAPI",15,cuba,olivier,"cuba olivier"
635,"OKLAHOMA JUMANJI",15,cuba,olivier,"cuba olivier"
745,"ROSES TREASURE",15,cuba,olivier,"cuba olivier"
783,"SHANE DARKNESS",15,cuba,olivier,"cuba olivier"
795,"SIEGE MADRE",15,cuba,olivier,"cuba olivier"
817,"SOLDIERS EVOLUTION",15,cuba,olivier,"cuba olivier"
886,"THEORY MERMAID",15,cuba,olivier,"cuba olivier"
924,"UNFORGIVEN ZOOLANDER",15,cuba,olivier,"cuba olivier"
949,"VOLCANO TEXAS",15,cuba,olivier,"cuba olivier"
968,"WEREWOLF LOLA",15,cuba,olivier,"cuba olivier"
985,"WONDERLAND CHRISTMAS",15,cuba,olivier,"cuba olivier"
80,"BLANKET BEVERLY",16,fred,costner,"fred costner"
87,"BOONDOCK BALLROOM",16,fred,costner,"fred costner"
101,"BROTHERHOOD BLANKET",16,fred,costner,"fred costner"
121,"CAROL TEXAS",16,fred,costner,"fred costner"
155,"CLEOPATRA DEVIL",16,fred,costner,"fred costner"
177,"CONNECTICUT TRAMP",16,fred,costner,"fred costner"
218,"DECEIVER BETRAYED",16,fred,costner,"fred costner"
221,"DELIVERANCE MULHOLLAND",16,fred,costner,"fred costner"
267,"EAGLES PANKY",16,fred,costner,"fred costner"
269,"EARRING INSTINCT",16,fred,costner,"fred costner"
271,"EASY GLADIATOR",16,fred,costner,"fred costner"
280,"EMPIRE MALKOVICH",16,fred,costner,"fred costner"
287,"ENTRAPMENT SATISFACTION",16,fred,costner,"fred costner"
345,"GABLES METROPOLIS",16,fred,costner,"fred costner"
438,"HUMAN GRAFFITI",16,fred,costner,"fred costner"
453,"IMAGE PRINCESS",16,fred,costner,"fred costner"
455,"IMPOSSIBLE PREJUDICE",16,fred,costner,"fred costner"
456,"INCH JET",16,fred,costner,"fred costner"
503,"KRAMER CHOCOLATE",16,fred,costner,"fred costner"
548,"MAGNIFICENT CHITTY",16,fred,costner,"fred costner"
582,"MIRACLE VIRTUAL",16,fred,costner,"fred costner"
583,"MISSION ZOOLANDER",16,fred,costner,"fred costner"
717,"REAR TRADING",16,fred,costner,"fred costner"
758,"SAINTS BRIDE",16,fred,costner,"fred costner"
779,"SENSE GREEK",16,fred,costner,"fred costner"
886,"THEORY MERMAID",16,fred,costner,"fred costner"
967,"WEEKEND PERSONAL",16,fred,costner,"fred costner"
96,"BREAKING HOME",17,helen,voight,"helen voight"
119,"CAPER MOTIONS",17,helen,voight,"helen voight"
124,"CASPER DRAGONFLY",17,helen,voight,"helen voight"
127,"CAT CONEHEADS",17,helen,voight,"helen voight"
154,"CLASH FREDDY",17,helen,voight,"helen voight"
199,"CUPBOARD SINNERS",17,helen,voight,"helen voight"
201,"CYCLONE FAMILY",17,helen,voight,"helen voight"
236,"DIVINE RESURRECTION",17,helen,voight,"helen voight"
280,"EMPIRE MALKOVICH",17,helen,voight,"helen voight"
310,"FEVER EMPIRE",17,helen,voight,"helen voight"
313,"FIDELITY DEVIL",17,helen,voight,"helen voight"
378,"GREATEST NORTH",17,helen,voight,"helen voight"
457,"INDEPENDENCE HOTEL",17,helen,voight,"helen voight"
469,"IRON MOON",17,helen,voight,"helen voight"
478,"JAWS HARRY",17,helen,voight,"helen voight"
500,"KISS GLORY",17,helen,voight,"helen voight"
515,"LEGALLY SECRETARY",17,helen,voight,"helen voight"
521,"LIES TREATMENT",17,helen,voight,"helen voight"
573,"MICROCOSMOS PARADISE",17,helen,voight,"helen voight"
603,"MOVIE SHAKESPEARE",17,helen,voight,"helen voight"
